id;login;password_hash;first_name;last_name;email;image_url;activated;lang_key;created_by;last_modified_by;agreement;btc_amount;usd_amount;account_number;phone_number;btc_wallet;identity_number;bank;upline;enabled;is_using2fa;secret
1;system;$2a$10$mE.qmcV0mFU5NcKh73TZx.z4ueI/.bDWbj0T1BYyqP481kGGarKLG;System;System;system@localhost;;true;en;system;system;true;0.1;0;0;0;0;0;BCA;admin;false;false;SIR7IYZMMVAI2EI7
2;anonymoususer;$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO;Anonymous;User;anonymous@localhost;;true;en;system;system;true;0.1;0;0;0;0;0;BCA;admin;false;false;SIR7IYZMMVAI2EI7
3;admin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Administrator;Administrator;admin@localhost;;true;en;system;system;true;0.1;0;0;0;0;0;BCA;admin;false;false;SIR7IYZMMVAI2EI7
4;user;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user@localhost;;true;en;system;system;true;0.1;10000;0;0;0;0;BCA;admin;false;false;SIR7IYZMMVAI2EI7
5;itdev;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;ITDEV;ITDEV;itdev@localhost;;true;en;system;system;true;0.1;0;0;0;0;0;BCA;admin;false;false;SIR7IYZMMVAI2EI7
6;test1;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test1;test1;test1@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;admin;true;true;SIR7IYZMMVAI2EI7
7;test2;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test2;test2;test2@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test1;false;false;SIR7IYZMMVAI2EI7
8;test3;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test3;test3;test3@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test2;false;false;SIR7IYZMMVAI2EI7
9;test4;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test4;test4;test4@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test3;false;false;SIR7IYZMMVAI2EI7
10;test5;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test5;test5;test5@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test4;false;false;SIR7IYZMMVAI2EI7
11;test7;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test7;test7;test7@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test6;false;false;SIR7IYZMMVAI2EI7
12;test8;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test8;test8;test8@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test7;false;false;SIR7IYZMMVAI2EI7
13;test9;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test9;test9;test9@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test8;false;false;SIR7IYZMMVAI2EI7
14;test10;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test10;test10;test10@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test9;false;false;SIR7IYZMMVAI2EI7
15;test11;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test11;test11;test11@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test1;false;false;SIR7IYZMMVAI2EI7
16;test12;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test12;test12;test12@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test1;false;false;SIR7IYZMMVAI2EI7
17;test13;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test13;test13;test13@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test1;false;false;SIR7IYZMMVAI2EI7
18;test14;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test14;test14;test14@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test1;false;false;SIR7IYZMMVAI2EI7
19;test15;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test15;test15;test15@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test1;false;false;SIR7IYZMMVAI2EI7
20;test16;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test16;test16;test16@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test1;false;false;SIR7IYZMMVAI2EI7
21;test17;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test17;test17;test17@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test1;false;false;SIR7IYZMMVAI2EI7
22;test18;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test18;test18;test18@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test1;false;false;SIR7IYZMMVAI2EI7
23;test19;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test19;test19;test19@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test1;false;false;SIR7IYZMMVAI2EI7
24;test20;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test20;test20;test20@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test1;false;false;SIR7IYZMMVAI2EI7
25;test6;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;test6;test6;test6@localhost;;true;en;system;system;true;0.1;90000;0;0;0;0;BCA;test5;false;false;SIR7IYZMMVAI2EI7
